13:45:52 INFO  manager.ApplicationManager - All tests start in Chrome
13:45:55 INFO  tests.TestBase - start to test method ->>createResume
13:45:55 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='create CV']
13:45:55 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='create CV'] was found
13:45:55 INFO  manager.MyListener - start search for element with locator->>By.xpath: (//div[@class='cover'])[1]
13:45:57 INFO  manager.MyListener - element with locator->> By.xpath: (//div[@class='cover'])[1] was found
13:45:57 INFO  manager.MyListener - start search for element with locator->>By.id: name
13:45:57 INFO  manager.MyListener - element with locator->> By.id: name was found
13:45:57 INFO  manager.MyListener - start search for element with locator->>By.id: position
13:45:57 INFO  manager.MyListener - element with locator->> By.id: position was found
13:45:57 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Open calendar']
13:45:57 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Open calendar'] was found
13:45:57 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: button[aria-label='Choose month and year']
13:45:57 INFO  manager.MyListener - element with locator->> By.cssSelector: button[aria-label='Choose month and year'] was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: tbody[role='grid'] tr:first-child td:first-child div
13:45:58 INFO  manager.MyListener - element with locator->> By.cssSelector: tbody[role='grid'] tr:first-child td:first-child div was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Previous 20 years']
13:45:58 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Previous 20 years'] was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: tbody[role='grid'] tr:first-child td:first-child
13:45:58 INFO  manager.MyListener - element with locator->> By.cssSelector: tbody[role='grid'] tr:first-child td:first-child was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[.=' 1973 ']
13:45:58 INFO  manager.MyListener - element with locator->> By.xpath: //*[.=' 1973 '] was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.xpath: //td[.=' AUG ']
13:45:58 INFO  manager.MyListener - element with locator->> By.xpath: //td[.=' AUG '] was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.xpath: //div[.=' 12 ']
13:45:58 INFO  manager.MyListener - element with locator->> By.xpath: //div[.=' 12 '] was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.id: country
13:45:58 INFO  manager.MyListener - element with locator->> By.id: country was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.id: city
13:45:58 INFO  manager.MyListener - element with locator->> By.id: city was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.id: phone
13:45:58 INFO  manager.MyListener - element with locator->> By.id: phone was found
13:45:58 INFO  manager.MyListener - start search for element with locator->>By.id: email
13:45:58 INFO  manager.MyListener - element with locator->> By.id: email was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='Save']
13:45:59 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='Save'] was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: section#header div[class=title] h2
13:45:59 INFO  manager.MyListener - element with locator->> By.cssSelector: section#header div[class=title] h2 was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: experience
13:45:59 INFO  manager.MyListener - element with locator->> By.id: experience was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: startDate
13:45:59 INFO  manager.MyListener - element with locator->> By.id: startDate was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: endDate
13:45:59 INFO  manager.MyListener - element with locator->> By.id: endDate was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: companyName
13:45:59 INFO  manager.MyListener - element with locator->> By.id: companyName was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: companyLocation
13:45:59 INFO  manager.MyListener - element with locator->> By.id: companyLocation was found
13:45:59 INFO  manager.MyListener - start search for element with locator->>By.id: url
13:45:59 INFO  manager.MyListener - element with locator->> By.id: url was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.id: position
13:46:00 INFO  manager.MyListener - element with locator->> By.id: position was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: button[type='submit']
13:46:00 INFO  manager.MyListener - element with locator->> By.cssSelector: button[type='submit'] was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: section#experience ul
13:46:00 INFO  manager.MyListener - element with locator->> By.cssSelector: section#experience ul was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[.=' Preview ']
13:46:00 INFO  manager.MyListener - element with locator->> By.xpath: //*[.=' Preview '] was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: div[class=slider] div:nth-child(4)
13:46:00 INFO  manager.MyListener - element with locator->> By.cssSelector: div[class=slider] div:nth-child(4) was found
13:46:00 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: div[class=header] button:first-of-type
13:46:00 INFO  manager.MyListener - element with locator->> By.cssSelector: div[class=header] button:first-of-type was found
13:46:05 INFO  tests.TestBase - end to test method ->>createResume
