20:12:32 INFO  manager.ApplicationManager - All tests start in Chrome
20:12:36 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[text()=' logout ']
20:12:46 INFO  manager.MyListener - element with locator->> By.xpath: //*[text()=' logout '] was found
20:12:46 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[.='sign in']
20:12:46 INFO  manager.MyListener - element with locator->> By.xpath: //*[.='sign in'] was found
20:12:46 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: input#email
20:12:48 INFO  manager.MyListener - element with locator->> By.cssSelector: input#email was found
20:12:48 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: input#password
20:12:48 INFO  manager.MyListener - element with locator->> By.cssSelector: input#password was found
20:12:48 INFO  manager.MyListener - start search for element with locator->>By.cssSelector:  button[type='submit']
20:12:48 INFO  manager.MyListener - element with locator->> By.cssSelector:  button[type='submit'] was found
20:12:48 INFO  tests.TestBase - start to test method ->>deleteByName
20:12:48 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: ul[class='ng-star-inserted'] li cv-seeker-cv-row
20:12:50 INFO  manager.MyListener - element with locator->> By.cssSelector: ul[class='ng-star-inserted'] li cv-seeker-cv-row was found
20:12:50 INFO  manager.HelperBase - Total amount of already created CV = ->>66
20:12:50 INFO  manager.HelperBase - Total CV to be deleted = 0
20:12:50 INFO  manager.HelperBase - Total CV to be deleted = 0
20:12:50 INFO  manager.HelperBase - Total CV to be deleted = 0
20:12:51 INFO  manager.HelperBase - Total CV to be deleted = 1
20:12:51 INFO  manager.HelperBase - Total CV to be deleted = 2
20:12:52 INFO  manager.HelperBase - Total CV to be deleted = 3
20:12:52 INFO  manager.HelperBase - Total CV to be deleted = 4
20:12:52 INFO  manager.HelperBase - Total CV to be deleted = 5
20:12:53 INFO  manager.HelperBase - Total CV to be deleted = 6
20:12:53 INFO  manager.HelperBase - Total CV to be deleted = 7
20:12:54 INFO  manager.HelperBase - Total CV to be deleted = 8
20:12:54 INFO  manager.HelperBase - Total CV to be deleted = 9
20:12:55 INFO  manager.HelperBase - Total CV to be deleted = 10
20:12:55 INFO  manager.HelperBase - Total CV to be deleted = 11
20:12:55 INFO  manager.HelperBase - Total CV to be deleted = 12
20:12:56 INFO  manager.HelperBase - Total CV to be deleted = 13
20:12:56 INFO  manager.HelperBase - Total CV to be deleted = 14
20:12:57 INFO  manager.HelperBase - Total CV to be deleted = 15
20:12:57 INFO  manager.HelperBase - Total CV to be deleted = 16
20:12:58 INFO  manager.HelperBase - Total CV to be deleted = 17
20:12:58 INFO  manager.HelperBase - Total CV to be deleted = 18
20:12:58 INFO  manager.HelperBase - Total CV to be deleted = 19
20:12:59 INFO  manager.HelperBase - Total CV to be deleted = 20
20:12:59 INFO  manager.HelperBase - Total CV to be deleted = 21
20:13:00 INFO  manager.HelperBase - Total CV to be deleted = 22
20:13:00 INFO  manager.HelperBase - Total CV to be deleted = 23
20:13:01 INFO  manager.HelperBase - Total CV to be deleted = 24
20:13:01 INFO  manager.HelperBase - Total CV to be deleted = 25
20:13:01 INFO  manager.HelperBase - Total CV to be deleted = 26
20:13:02 INFO  manager.HelperBase - Total CV to be deleted = 27
20:13:02 INFO  manager.HelperBase - Total CV to be deleted = 28
20:13:03 INFO  manager.HelperBase - Total CV to be deleted = 29
20:13:03 INFO  manager.HelperBase - Total CV to be deleted = 29
20:13:03 INFO  manager.HelperBase - Total CV to be deleted = 30
20:13:04 INFO  manager.HelperBase - Total CV to be deleted = 31
20:13:04 INFO  manager.HelperBase - Total CV to be deleted = 32
20:13:04 INFO  manager.HelperBase - Total CV to be deleted = 33
20:13:05 INFO  manager.HelperBase - Total CV to be deleted = 34
20:13:05 INFO  manager.HelperBase - Total CV to be deleted = 35
20:13:06 INFO  manager.HelperBase - Total CV to be deleted = 36
20:13:06 INFO  manager.HelperBase - Total CV to be deleted = 37
20:13:06 INFO  manager.HelperBase - Total CV to be deleted = 38
20:13:07 INFO  manager.HelperBase - Total CV to be deleted = 39
20:13:07 INFO  manager.HelperBase - Total CV to be deleted = 40
20:13:08 INFO  manager.HelperBase - Total CV to be deleted = 41
20:13:08 INFO  manager.HelperBase - Total CV to be deleted = 42
20:13:09 INFO  manager.HelperBase - Total CV to be deleted = 43
20:13:09 INFO  manager.HelperBase - Total CV to be deleted = 44
20:13:09 INFO  manager.HelperBase - Total CV to be deleted = 45
20:13:10 INFO  manager.HelperBase - Total CV to be deleted = 46
20:13:10 INFO  manager.HelperBase - Total CV to be deleted = 47
20:13:11 INFO  manager.HelperBase - Total CV to be deleted = 48
20:13:11 INFO  manager.HelperBase - Total CV to be deleted = 49
20:13:11 INFO  manager.HelperBase - Total CV to be deleted = 50
20:13:12 INFO  manager.HelperBase - Total CV to be deleted = 51
20:13:12 INFO  manager.HelperBase - Total CV to be deleted = 52
20:13:13 INFO  manager.HelperBase - Total CV to be deleted = 53
20:13:13 INFO  manager.HelperBase - Total CV to be deleted = 54
20:13:14 INFO  manager.HelperBase - Total CV to be deleted = 55
20:13:14 INFO  manager.HelperBase - Total CV to be deleted = 56
20:13:14 INFO  manager.HelperBase - Total CV to be deleted = 57
20:13:15 INFO  manager.HelperBase - Total CV to be deleted = 58
20:13:15 INFO  manager.HelperBase - Total CV to be deleted = 59
20:13:16 INFO  manager.HelperBase - Total CV to be deleted = 60
20:13:16 INFO  manager.HelperBase - Total CV to be deleted = 61
20:13:16 INFO  manager.HelperBase - Total CV to be deleted = 62
20:13:16 INFO  tests.TestBase - end to test method ->>deleteByName
