09:11:44 INFO  manager.ApplicationManager - All tests start in Chrome
09:11:47 INFO  tests.TestBase - start to test method ->>createResume
09:11:47 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='create CV']
09:11:47 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='create CV'] was found
09:11:47 INFO  manager.MyListener - start search for element with locator->>By.xpath: (//div[@class='cover'])[1]
09:11:49 INFO  manager.MyListener - element with locator->> By.xpath: (//div[@class='cover'])[1] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.id: name
09:11:49 INFO  manager.MyListener - element with locator->> By.id: name was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.id: position
09:11:49 INFO  manager.MyListener - element with locator->> By.id: position was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Open calendar']
09:11:49 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Open calendar'] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: button[aria-label='Choose month and year']
09:11:49 INFO  manager.MyListener - element with locator->> By.cssSelector: button[aria-label='Choose month and year'] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Previous 20 years']
09:11:49 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Previous 20 years'] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[.=' 1973 ']
09:11:49 INFO  manager.MyListener - element with locator->> By.xpath: //*[.=' 1973 '] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.xpath: //td[.=' AUG ']
09:11:49 INFO  manager.MyListener - element with locator->> By.xpath: //td[.=' AUG '] was found
09:11:49 INFO  manager.MyListener - start search for element with locator->>By.xpath: //div[.=' 12 ']
09:11:50 INFO  manager.MyListener - element with locator->> By.xpath: //div[.=' 12 '] was found
09:11:50 INFO  manager.MyListener - start search for element with locator->>By.id: country
09:11:50 INFO  manager.MyListener - element with locator->> By.id: country was found
09:11:50 INFO  manager.MyListener - start search for element with locator->>By.id: city
09:11:50 INFO  manager.MyListener - element with locator->> By.id: city was found
09:11:50 INFO  manager.MyListener - start search for element with locator->>By.id: phone
09:11:50 INFO  manager.MyListener - element with locator->> By.id: phone was found
09:11:50 INFO  manager.MyListener - start search for element with locator->>By.id: email
09:11:50 INFO  manager.MyListener - element with locator->> By.id: email was found
09:11:50 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='Save']
09:11:50 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='Save'] was found
09:11:50 INFO  tests.TestBase - end to test method ->>createResume
