07:59:25 INFO  manager.ApplicationManager - All tests start in Chrome
07:59:29 INFO  manager.ApplicationManager - ff
07:59:29 INFO  tests.TestBase - start to test method ->>createResume
07:59:29 INFO  manager.MyListener - start search for element with locator->>By.xpath: //span[.='create CV']
07:59:29 INFO  manager.MyListener - element with locator->> By.xpath: //span[.='create CV'] was found
07:59:29 INFO  manager.MyListener - start search for element with locator->>By.xpath: (//div[@class='cover'])[1]
07:59:30 INFO  manager.MyListener - element with locator->> By.xpath: (//div[@class='cover'])[1] was found
07:59:30 INFO  manager.MyListener - start search for element with locator->>By.id: name
07:59:30 INFO  manager.MyListener - element with locator->> By.id: name was found
07:59:30 INFO  manager.MyListener - start search for element with locator->>By.id: position
07:59:31 INFO  manager.MyListener - element with locator->> By.id: position was found
07:59:31 INFO  manager.MyListener - start search for element with locator->>By.xpath: //*[@aria-label='Open calendar']
07:59:31 INFO  manager.MyListener - element with locator->> By.xpath: //*[@aria-label='Open calendar'] was found
07:59:31 INFO  manager.MyListener - start search for element with locator->>By.cssSelector: button[aria-label='Choose month and year']
07:59:31 INFO  manager.MyListener - element with locator->> By.cssSelector: button[aria-label='Choose month and year'] was found
07:59:31 INFO  tests.TestBase - end to test method ->>createResume
